pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
SG,27,SAS,3,11,20.7,.717,.250,.500,0.0,19.0,9.7,22.8,0.0,0.0,17.0,20.7,,0.0,0.0,0.0,.212,,2.1,-2.4,-0.3,0.0
SG,27,DAL,10,76,2.6,.329,.129,.065,3.1,10.7,6.9,15.0,0.6,0.0,13.6,20.2,,-0.2,0.0,-0.2,-0.106,,-7.5,-2.7,-10.2,-0.2
SG,24,SDC,69,1280,13.2,.530,.016,.304,5.2,6.7,6.0,6.6,1.0,0.6,11.1,22.6,,1.7,0.1,1.8,.067,,-1.8,-1.9,-3.7,-0.5
SF,22,ATL,7,65,7.8,.575,.000,.769,0.0,17.8,8.8,6.5,1.5,0.9,22.3,14.9,,0.0,0.1,0.1,.040,,-5.0,0.0,-4.9,0.0
C,23,POR,18,78,9.2,.524,.000,.231,8.9,15.6,12.1,8.4,0.6,2.3,17.3,17.9,,0.0,0.1,0.1,.070,,-2.9,-1.1,-4.0,0.0
PF,25,PHO,69,989,11.3,.633,.010,.483,8.9,16.4,12.7,8.8,0.8,1.3,24.2,13.9,,0.8,0.9,1.7,.081,,-1.4,0.2,-1.2,0.2
PF,28,CLE,51,858,9.6,.487,.029,.251,7.3,17.2,12.1,7.5,1.1,2.3,12.8,10.6,,0.4,0.9,1.3,.075,,-3.0,2.0,-1.0,0.2
SG,25,MIL,81,1730,14.5,.547,.017,.379,7.0,11.4,9.3,20.7,2.5,1.7,20.3,18.9,,0.9,2.9,3.8,.106,,0.7,1.2,1.9,1.7
PF,25,LAL,47,743,10.9,.591,.000,.584,13.4,26.1,20.2,5.1,1.9,1.0,28.3,10.7,,0.3,1.2,1.5,.095,,-1.8,1.4,-0.4,0.3
PG,25,NJN,80,1937,14.0,.487,.046,.261,1.6,5.9,3.7,33.0,2.2,0.2,15.3,18.9,,1.8,2.0,3.8,.095,,-0.1,-2.3,-2.5,-0.2
SF,23,PHI,28,196,6.2,.385,.000,.172,5.4,13.5,9.6,20.0,2.2,0.6,23.3,17.2,,-0.4,0.3,-0.1,-0.024,,-4.9,-0.1,-5.0,-0.1
SF,28,HOU,64,1936,14.5,.491,.009,.144,5.4,13.5,9.5,15.3,2.1,0.8,9.2,20.4,,1.5,2.1,3.5,.088,,0.0,0.9,0.9,1.4
SG,27,PHI,69,1571,10.0,.503,.008,.218,4.6,7.2,6.0,14.0,1.5,0.8,16.2,16.3,,0.3,1.6,1.9,.057,,-1.3,-0.8,-2.1,0.0
PG,28,NJN,48,1285,15.1,.500,.110,.205,4.9,10.5,7.6,23.0,3.7,0.9,17.0,21.5,,0.3,2.1,2.4,.090,,1.0,1.4,2.4,1.4
PG,22,ATL,81,1938,14.9,.553,.022,.601,4.2,8.9,6.5,23.7,3.3,0.9,20.3,19.1,,1.6,2.6,4.2,.103,,0.5,1.3,1.8,1.8
SF,28,DEN,19,197,6.7,.409,.000,.198,10.4,17.0,13.6,8.0,1.1,0.3,14.7,22.2,,-0.3,0.1,-0.2,-0.058,,-6.4,-1.8,-8.2,-0.3
PF,23,SAS,79,1531,12.6,.604,.010,.431,7.2,13.8,10.6,7.6,1.5,1.3,17.4,14.5,,2.0,0.9,3.0,.093,,-0.9,1.4,0.5,1.0
C,28,PHO,61,856,12.8,.578,.004,.342,10.9,16.2,13.5,9.9,1.1,0.9,20.7,17.9,,0.6,0.8,1.4,.078,,-1.2,-0.3,-1.5,0.1
C,23,CLE,73,2402,16.6,.488,.002,.282,7.1,29.3,17.8,12.3,1.0,0.8,12.3,26.4,,0.2,2.9,3.1,.062,,-1.8,0.3,-1.5,0.3
PF,32,NYK,65,2135,10.4,.522,.000,.355,9.8,21.2,15.5,6.1,1.0,0.8,19.2,16.2,,-0.1,3.3,3.2,.071,,-1.2,0.5,-0.7,0.7
C,34,TOT,31,340,6.5,.428,.000,.271,4.9,14.0,9.4,6.8,0.4,0.3,10.0,13.7,,-0.1,0.1,0.1,.009,,-5.2,-1.3,-6.5,-0.4
C,34,DEN,19,141,3.6,.405,.000,.325,0.7,15.3,7.8,10.2,0.0,0.4,19.4,15.2,,-0.2,0.0,-0.2,-0.079,,-8.6,-1.6,-10.2,-0.3
C,34,SAS,4,37,4.8,.500,.000,.000,5.9,17.0,11.5,3.1,0.0,0.0,11.1,9.4,,0.0,0.0,0.0,.029,,-4.5,-1.1,-5.6,0.0
C,34,KCK,8,162,9.4,.437,.000,.271,8.3,12.2,10.2,4.8,0.9,0.3,0.0,13.3,,0.2,0.1,0.3,.080,,-2.4,-1.0,-3.4,-0.1
C,28,ATL,77,2351,14.2,.544,.000,.359,9.6,19.4,14.4,3.8,0.7,7.0,14.2,13.1,,1.8,3.8,5.5,.113,,-1.6,3.8,2.3,2.5
PG,25,TOT,68,1022,14.8,.501,.094,.268,2.4,7.7,5.2,26.8,2.7,0.5,13.8,18.8,,0.9,1.5,2.4,.113,,0.3,-1.4,-1.1,0.2
PG,25,GSW,3,15,8.9,.444,.200,.800,0.0,7.8,3.6,8.8,0.0,0.0,0.0,17.5,,0.0,0.0,0.0,.043,,-3.7,-4.8,-8.5,0.0
PG,25,MIL,65,1007,14.9,.502,.092,.260,2.5,7.7,5.2,27.1,2.7,0.5,14.0,18.8,,0.9,1.5,2.4,.114,,0.4,-1.3,-0.9,0.3
PF,30,ATL,73,2610,18.9,.551,.011,.468,8.9,22.9,15.8,11.4,1.2,1.7,14.1,24.1,,3.5,3.6,7.1,.131,,1.2,0.9,2.1,2.7
C,25,WSB,75,3082,19.6,.633,.007,.614,10.0,24.8,17.4,14.9,1.1,1.3,20.6,23.0,,5.0,4.3,9.3,.144,,2.3,2.0,4.3,4.9
PG,23,DET,16,119,9.0,.430,.048,.310,5.2,12.1,8.5,22.1,1.6,0.0,15.9,18.3,,0.0,0.1,0.1,.040,,-2.9,-1.1,-3.9,-0.1
C,23,HOU,82,2693,20.1,.551,.003,.317,11.8,24.7,18.3,8.9,1.2,4.0,15.9,27.1,,1.9,4.1,6.0,.108,,0.0,1.4,1.4,2.3
SF,23,PHO,50,586,10.5,.503,.000,.207,7.9,12.6,10.3,9.8,1.9,1.2,16.6,18.6,,0.0,0.6,0.6,.045,,-2.6,0.0,-2.7,-0.1
PF,25,WSB,2,13,8.4,.510,.000,.400,0.0,26.8,13.4,0.0,3.8,0.0,25.4,25.9,,-0.1,0.0,0.0,-0.131,,-11.7,-3.3,-15.1,0.0
C,24,DEN,82,1420,12.9,.592,.005,.733,10.5,21.9,16.0,7.4,1.0,2.2,19.5,16.2,,1.8,1.1,2.8,.095,,-2.4,0.8,-1.5,0.2
SF,28,PHO,65,735,7.6,.536,.016,.581,4.6,11.4,8.0,7.6,1.2,1.6,21.2,11.0,,0.1,0.6,0.8,.049,,-3.5,0.7,-2.8,-0.2
SG,22,LAL,74,1637,13.4,.525,.049,.201,3.7,7.3,5.7,14.0,2.3,0.6,13.4,21.3,,1.1,1.5,2.7,.079,,-0.7,-0.8,-1.5,0.2
PF,28,CLE,79,2101,12.6,.506,.006,.180,7.3,13.5,10.3,12.7,1.8,1.5,16.4,20.0,,0.0,2.1,2.1,.048,,-1.4,1.3,-0.1,1.0
SF,26,GSW,79,2945,16.9,.529,.048,.295,6.3,10.1,8.1,13.0,1.6,0.2,11.8,25.6,,4.1,1.9,6.0,.098,,1.3,-1.2,0.0,1.5
PG,27,IND,80,2497,13.9,.569,.027,.181,2.0,5.6,3.8,25.7,1.7,0.2,15.2,15.7,,3.2,1.9,5.2,.099,,0.2,-1.7,-1.5,0.3
C,28,SEA,82,2993,19.7,.572,.002,.416,8.6,25.9,17.3,16.0,1.5,1.7,14.7,22.2,,5.3,4.4,9.7,.156,,1.6,2.4,4.0,4.5
SG,22,SDC,61,1297,14.0,.591,.014,.374,4.7,10.1,7.4,8.6,1.2,0.9,13.3,18.0,,2.3,0.4,2.6,.098,,-0.5,-0.1,-0.6,0.5
PF,26,GSW,75,2091,12.1,.571,.000,.385,13.7,21.9,17.5,4.5,1.4,0.6,19.6,11.8,,1.8,2.1,4.0,.091,,-1.3,0.7,-0.6,0.7
SG,31,WSB,81,2624,13.2,.514,.100,.237,2.3,5.7,4.0,22.2,2.2,0.4,15.3,23.6,,0.4,2.5,2.9,.053,,-0.4,-1.0,-1.4,0.4
SG,26,DAL,7,54,16.8,.552,.125,.813,10.8,4.3,7.5,11.9,5.4,0.0,15.6,19.9,,0.1,0.1,0.2,.141,,1.4,1.2,2.6,0.1
PG,25,NYK,79,2436,12.4,.514,.053,.178,2.4,7.0,4.7,31.2,2.0,0.2,20.9,17.2,,1.1,3.1,4.2,.083,,0.2,-1.3,-1.1,0.6
SF,24,LAL,38,363,9.6,.596,.024,.610,5.4,13.1,9.5,9.7,1.5,0.6,24.6,15.3,,0.1,0.4,0.5,.062,,-2.5,-0.3,-2.8,-0.1
SG,24,IND,61,857,13.9,.559,.010,.513,5.6,10.2,7.9,13.2,1.9,0.4,17.7,22.5,,0.5,0.9,1.3,.074,,-1.6,-1.4,-3.0,-0.2
C,23,IND,81,2426,12.6,.526,.020,.298,5.3,20.2,12.8,9.9,1.4,1.6,14.9,18.4,,0.4,3.3,3.6,.072,,-2.2,1.0,-1.2,0.5
PG,22,SEA,73,1284,12.1,.488,.076,.148,2.0,6.0,4.0,26.4,1.1,0.0,13.5,19.4,,0.5,0.6,1.2,.044,,-1.7,-3.0,-4.7,-0.9
SG,22,KCK,40,469,15.3,.550,.014,.220,5.0,6.2,5.6,14.9,2.0,0.0,12.0,22.9,,0.6,0.3,0.9,.094,,0.0,-2.0,-2.0,0.0
SG,23,HOU,68,616,11.8,.508,.086,.140,4.9,8.7,6.8,14.5,1.0,0.4,15.6,25.3,,-0.2,0.4,0.2,.016,,-2.3,-2.7,-5.0,-0.5
PG,26,TOT,61,1498,14.3,.498,.067,.450,3.8,6.1,4.9,34.1,1.6,0.5,17.2,24.5,,0.7,1.0,1.8,.056,,0.0,-2.1,-2.1,0.0
PG,26,CHI,31,601,12.9,.476,.063,.456,4.0,4.9,4.4,35.1,1.7,0.3,17.2,23.7,,0.1,0.4,0.5,.043,,-0.8,-2.8,-3.6,-0.2
PG,26,KCK,30,897,15.3,.511,.070,.446,3.6,7.0,5.3,33.4,1.5,0.6,17.3,25.1,,0.6,0.6,1.2,.065,,0.6,-1.6,-1.1,0.2
SF,23,DET,46,291,5.9,.450,.014,.431,3.2,8.4,5.7,10.9,1.6,0.6,18.2,13.8,,-0.2,0.2,0.0,.002,,-4.5,-0.5,-4.9,-0.2
PG,22,DET,82,3007,20.9,.520,.045,.365,3.5,8.2,5.8,41.5,3.1,0.6,15.4,25.4,,5.7,3.4,9.1,.144,,4.1,0.1,4.3,4.7
SG,23,IND,72,1219,12.1,.504,.027,.273,5.4,8.1,6.8,14.9,2.3,0.3,13.3,17.6,,0.4,1.2,1.6,.065,,-1.5,-0.5,-2.0,0.0
SG,29,SEA,19,349,20.0,.609,.006,.442,5.9,8.4,7.2,6.0,1.4,2.1,12.0,26.7,,0.8,0.3,1.0,.144,,0.6,-2.2,-1.5,0.0
C,22,KCK,80,1915,16.9,.562,.000,.350,15.2,27.3,21.1,6.3,1.7,4.3,18.6,19.0,,1.5,3.3,4.9,.122,,-1.1,2.6,1.5,1.7
C,29,POR,79,2648,17.9,.561,.002,.429,10.2,20.8,15.4,15.9,1.5,2.4,17.5,20.4,,3.6,3.3,6.9,.125,,1.5,2.1,3.6,3.8
SF,22,CLE,82,1731,14.9,.510,.059,.225,7.6,13.1,10.2,10.5,2.0,1.3,9.1,19.3,,2.0,1.8,3.7,.104,,0.0,0.6,0.6,1.1
PG,22,PHI,45,464,6.6,.462,.054,.189,4.3,5.5,4.9,12.4,1.4,0.2,17.1,17.2,,-0.3,0.4,0.1,.012,,-3.2,-2.4,-5.6,-0.4
C,23,GSW,72,730,9.5,.456,.008,.248,10.4,17.5,13.7,4.4,0.8,4.6,15.3,17.7,,-0.3,0.8,0.5,.030,,-5.1,0.2,-4.9,-0.5
PF,25,DET,49,475,10.5,.536,.008,.372,9.7,12.3,11.0,6.7,1.2,2.3,15.6,13.5,,0.3,0.5,0.8,.081,,-1.6,0.6,-1.0,0.1
SG,26,PHI,78,2556,17.3,.597,.034,.413,2.6,5.9,4.3,23.7,1.3,0.5,18.3,26.3,,4.2,2.2,6.4,.120,,2.5,-2.8,-0.2,1.1
SF,24,TOT,4,19,11.7,.500,.000,.000,0.0,5.9,3.0,7.1,2.5,5.8,11.1,19.0,,0.0,0.0,0.0,.036,,-4.6,1.9,-2.7,0.0
SF,24,MIL,2,2,30.3,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,,0.0,0.0,0.0,.361,,12.4,-7.5,4.9,0.0
SF,24,SDC,2,17,9.6,.429,.000,.000,0.0,6.6,3.3,7.9,2.8,6.4,12.5,18.7,,0.0,0.0,0.0,-0.002,,-6.6,3.0,-3.7,0.0
SF,24,DET,76,2493,16.8,.530,.013,.404,4.9,8.3,6.5,12.8,1.2,0.4,11.1,26.5,,4.1,1.5,5.7,.109,,1.1,-1.8,-0.8,0.8
SG,24,NYK,63,1228,13.6,.518,.036,.073,4.3,8.6,6.4,16.8,2.5,0.4,10.4,17.6,,1.2,1.8,3.0,.119,,1.0,-0.2,0.7,0.9
SF,24,DAL,47,536,9.9,.415,.060,.227,9.1,11.0,10.1,13.7,2.4,0.0,15.0,15.1,,-0.1,0.5,0.3,.029,,-2.9,0.5,-2.3,0.0
SF,27,DET,82,1602,13.2,.482,.019,.191,6.7,12.5,9.5,6.3,1.8,2.0,9.4,19.9,,0.8,1.7,2.5,.074,,-1.9,0.0,-1.9,0.0
PG,24,POR,68,1893,13.8,.520,.005,.439,3.0,5.0,4.0,26.6,2.7,0.2,18.2,17.4,,2.1,1.6,3.7,.093,,-0.1,-1.1,-1.2,0.4
PF,25,DEN,78,2734,23.6,.618,.019,.362,3.1,11.4,7.2,13.1,0.8,1.0,7.7,27.8,,9.7,0.6,10.3,.181,,3.8,-2.0,1.9,2.7
PF,24,POR,43,327,12.0,.527,.010,.250,9.5,12.7,11.0,8.0,3.2,2.0,15.9,16.3,,0.2,0.5,0.7,.099,,-1.1,1.3,0.2,0.2
SF,24,DAL,61,1421,12.1,.499,.002,.371,6.6,13.5,10.1,11.0,1.0,0.4,14.4,23.1,,0.2,0.9,1.1,.038,,-2.7,-1.3,-3.9,-0.7
SF,25,SEA,80,2174,10.7,.559,.002,.477,7.9,12.7,10.3,8.0,1.1,1.4,16.8,13.8,,1.5,1.9,3.4,.076,,-1.2,1.1,-0.1,1.1
C,23,IND,78,1040,10.4,.532,.004,.214,6.8,17.3,12.1,7.7,1.1,4.6,20.0,12.9,,-0.1,1.5,1.3,.062,,-4.0,2.3,-1.7,0.1
PG,22,NYK,82,1324,15.9,.508,.029,.508,6.8,8.5,7.7,31.1,4.6,0.7,23.4,26.1,,-0.4,2.7,2.3,.083,,0.7,1.3,2.0,1.3
PG,32,NJN,34,378,9.4,.442,.056,.300,2.4,7.1,4.7,25.9,2.5,0.5,23.3,14.0,,-0.1,0.4,0.3,.043,,-3.2,-1.0,-4.2,-0.2
SF,29,HOU,58,612,10.9,.490,.025,.075,4.6,11.6,8.1,12.0,1.3,0.4,11.7,18.1,,0.1,0.5,0.5,.041,,-2.6,-1.1,-3.6,-0.3
C,31,SDC,55,1476,17.9,.570,.004,.297,10.2,26.4,18.3,17.1,1.4,3.3,23.2,20.6,,0.7,1.6,2.3,.074,,-0.8,3.9,3.1,1.9
PG,24,WSB,32,254,6.9,.431,.045,.242,2.3,7.8,5.0,23.1,1.7,0.7,21.5,15.6,,-0.3,0.2,0.0,-0.008,,-5.2,-1.1,-6.4,-0.3
C,31,NYK,76,1290,10.7,.499,.000,.490,13.8,20.7,17.2,5.4,1.3,4.7,22.6,12.1,,-0.1,2.5,2.5,.091,,-1.8,2.8,1.1,1.0
SF,31,BOS,68,916,9.9,.469,.039,.105,5.3,11.7,8.6,9.8,1.4,0.4,11.0,17.6,,0.1,1.1,1.2,.065,,-1.9,-1.3,-3.2,-0.3
PF,23,SAS,8,38,5.4,.372,.000,.444,11.4,19.3,15.4,0.0,0.0,2.7,15.7,13.0,,0.0,0.0,0.0,-0.014,,-8.3,-3.0,-11.3,-0.1
C,23,DAL,34,202,4.1,.358,.000,.524,10.9,15.5,13.2,7.7,0.2,4.2,18.8,13.1,,-0.3,0.2,-0.1,-0.023,,-6.2,1.3,-4.9,-0.1
SG,33,PHO,59,865,14.6,.549,.083,.454,1.1,4.8,2.9,22.4,2.2,0.4,17.0,21.5,,0.9,0.7,1.5,.086,,-1.2,-2.6,-3.9,-0.4
PG,21,CHI,80,2159,13.5,.519,.004,.360,3.3,7.2,5.2,43.4,2.7,0.5,29.4,17.5,,-0.3,2.2,1.9,.043,,-1.7,-1.3,-2.9,-0.5
SF,24,TOT,36,372,13.9,.488,.000,.276,11.6,11.6,11.6,5.7,1.9,0.5,11.2,23.7,,0.0,0.4,0.4,.050,,-2.0,-2.4,-4.4,-0.2
SF,24,PHO,22,308,15.3,.499,.000,.292,11.3,12.2,11.8,6.4,2.0,0.4,10.0,24.0,,0.2,0.3,0.5,.071,,-1.3,-2.2,-3.4,-0.1
SF,24,MIL,8,45,7.1,.417,.000,.294,13.1,7.3,10.1,3.1,2.2,1.3,20.7,22.7,,-0.1,0.1,-0.1,-0.062,,-5.5,-2.3,-7.8,-0.1
SF,24,SDC,6,19,7.6,.444,.000,.000,12.0,11.9,11.9,0.0,0.0,0.0,10.0,21.0,,0.0,0.0,0.0,-0.020,,-6.4,-6.6,-13.1,-0.1
C,27,SDC,70,921,12.2,.551,.000,.364,11.6,18.5,15.1,2.7,0.9,0.7,14.7,17.3,,1.1,0.4,1.5,.080,,-2.6,-1.4,-4.0,-0.5
SG,24,CHI,82,2123,13.7,.501,.033,.322,7.4,10.4,8.9,13.8,2.4,0.3,12.0,22.5,,1.1,2.2,3.3,.076,,-0.1,0.1,0.0,1.1
SF,30,LAL,75,2507,15.4,.549,.008,.265,6.3,8.8,7.7,11.3,1.3,0.9,10.4,21.1,,4.0,2.0,6.0,.115,,1.1,-0.7,0.4,1.5
SF,24,ATL,81,2961,19.2,.531,.008,.347,9.7,12.9,11.2,7.3,2.0,1.8,11.5,27.1,,3.4,3.6,7.0,.113,,1.5,-0.2,1.3,2.5
C,28,UTA,81,1734,10.9,.527,.006,.350,7.0,19.8,13.8,5.5,0.7,1.3,15.4,16.3,,0.5,1.9,2.3,.065,,-3.1,-0.4,-3.5,-0.7
PF,23,NJN,81,3003,15.8,.556,.004,.538,13.3,24.9,19.0,5.8,1.3,2.4,17.1,18.3,,2.4,4.9,7.3,.117,,0.4,1.4,1.7,2.8
PG,30,SEA,80,2818,18.9,.506,.019,.303,2.7,5.5,4.1,36.2,3.2,0.5,13.5,25.2,,3.0,2.9,5.9,.101,,1.9,-0.6,1.3,2.4
C,25,IND,69,2279,14.8,.520,.005,.343,7.5,19.3,13.4,13.7,1.2,2.7,17.3,21.7,,-0.3,3.1,2.8,.059,,-1.6,1.5,-0.1,1.1
SG,22,SAS,19,200,9.9,.520,.017,.552,2.2,4.7,3.5,25.2,1.8,1.0,23.4,18.2,,0.0,0.1,0.1,.026,,-3.6,-1.5,-5.1,-0.2
SG,29,NYK,76,2230,17.4,.521,.086,.339,3.7,10.9,7.3,30.3,3.5,0.7,16.9,24.3,,2.1,4.1,6.2,.132,,2.6,0.9,3.5,3.1
PG,22,DEN,79,1924,13.3,.527,.070,.311,2.9,7.8,5.3,29.0,1.9,0.1,18.1,18.3,,1.6,0.6,2.2,.056,,-1.2,-1.3,-2.5,-0.2
PF,24,TOT,77,1434,13.2,.508,.002,.325,9.8,16.8,13.4,6.1,2.3,4.3,16.7,17.0,,0.1,2.6,2.7,.091,,-1.8,2.1,0.3,0.8
PF,24,GSW,7,59,17.7,.481,.000,.269,6.9,17.9,12.0,4.8,4.7,2.9,9.4,21.2,,0.0,0.1,0.1,.117,,-3.1,1.6,-1.5,0.0
PF,24,PHI,70,1375,13.0,.509,.002,.328,9.9,16.8,13.5,6.2,2.2,4.3,17.2,16.8,,0.1,2.5,2.6,.090,,-1.7,2.1,0.4,0.8
SF,26,ATL,13,258,9.3,.391,.079,.404,8.3,13.9,11.1,9.1,2.7,0.2,11.8,25.5,,-0.5,0.3,-0.1,-0.021,,-3.9,-0.9,-4.8,-0.2
SF,26,NJN,67,936,11.2,.530,.027,.244,9.0,14.6,11.8,7.7,1.1,1.5,15.6,14.4,,0.7,1.1,1.8,.092,,-1.2,0.1,-1.1,0.2
PG,24,WSB,6,26,-5.5,.174,.500,1.000,4.5,0.0,2.2,13.7,0.0,0.0,51.0,9.7,,-0.1,0.0,-0.1,-0.159,,-9.8,-2.3,-12.1,-0.1
SG,24,ATL,78,1071,9.3,.517,.016,.145,1.5,6.2,3.8,10.0,0.8,0.0,8.6,14.9,,0.6,0.6,1.2,.054,,-2.1,-2.1,-4.2,-0.6
SG,25,SEA,81,2236,14.9,.545,.022,.287,4.8,9.2,7.0,11.2,1.4,0.8,10.6,22.1,,2.7,1.7,4.4,.094,,0.1,-0.9,-0.8,0.7
SG,25,KCK,71,1838,15.9,.541,.010,.370,3.8,7.1,5.4,14.0,2.1,0.9,10.8,23.3,,2.6,1.6,4.2,.110,,0.4,-0.7,-0.3,0.8
SF,24,CHI,75,2544,15.9,.567,.002,.390,5.8,11.0,8.3,8.9,1.3,1.4,12.9,23.8,,3.0,2.3,5.3,.100,,0.6,-0.5,0.1,1.4
PF,22,LAL,82,2415,16.5,.591,.007,.289,7.9,15.6,12.1,11.1,1.5,1.6,15.3,19.7,,3.8,2.7,6.5,.129,,1.2,0.7,1.9,2.4
