pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
PF,24,TOT,75,52,1311,6.7,13.0,.518,0.0,0.0,.000,6.7,13.0,.519,2.4,3.2,.759,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9
PF,24,MIL,12,0,159,5.9,12.7,.464,0.0,0.2,.000,5.9,12.5,.473,2.7,3.6,.750,2.7,5.7,8.4,2.3,1.4,0.9,2.9,5.4,14.5
PF,24,BOS,63,52,1152,6.8,13.0,.525,0.0,0.0,,6.8,13.0,.525,2.4,3.1,.760,3.6,5.8,9.4,0.5,0.6,0.7,2.6,5.2,16.1
PG,23,DEN,81,81,2710,8.4,18.7,.450,0.9,2.6,.355,7.5,16.1,.465,2.9,3.1,.935,0.7,2.3,3.0,4.6,1.1,0.1,2.5,2.4,20.6
C,30,TOT,18,7,269,3.5,6.6,.531,0.1,0.3,.500,3.3,6.3,.532,1.5,2.1,.688,3.5,5.5,9.0,0.7,0.4,0.8,1.7,4.6,8.6
C,30,HOU,6,0,23,3.1,14.1,.222,1.6,3.1,.500,1.6,11.0,.143,1.6,3.1,.500,3.1,6.3,9.4,0.0,0.0,0.0,3.1,3.1,9.4
C,30,WSB,12,7,246,3.5,5.9,.600,0.0,0.0,,3.5,5.9,.600,1.5,2.0,.714,3.5,5.4,8.9,0.7,0.4,0.9,1.6,4.7,8.5
PG,30,WSB,70,70,2499,5.3,12.0,.439,1.0,3.1,.321,4.3,8.9,.480,3.4,4.0,.856,0.7,2.7,3.5,7.6,1.4,0.1,2.5,2.1,14.9
SF,28,NJN,68,15,1164,5.6,12.7,.443,0.2,1.1,.206,5.4,11.7,.464,1.8,2.2,.814,1.4,2.7,4.1,1.6,0.7,0.3,2.0,3.9,13.2
SF,33,DET,51,15,1056,6.4,14.4,.443,1.0,2.8,.361,5.4,11.6,.463,3.4,4.4,.767,1.5,3.7,5.2,3.6,0.5,0.2,2.3,3.4,17.1
SG,33,PHO,80,0,2163,5.6,12.1,.462,2.5,6.2,.403,3.1,6.0,.522,2.0,2.4,.848,0.8,2.7,3.6,4.3,1.1,0.1,1.9,2.9,15.8
C,23,GSW,72,59,1753,7.1,13.7,.516,0.2,0.5,.455,6.9,13.2,.518,2.3,3.3,.685,2.7,5.9,8.6,1.9,0.7,1.1,2.5,4.5,16.6
PF,22,NYK,16,0,44,4.1,14.7,.278,0.0,0.0,,4.1,14.7,.278,9.0,10.6,.846,4.9,6.5,11.5,2.5,2.5,0.8,4.1,11.5,17.2
PG,22,NJN,55,55,2010,6.6,15.2,.435,0.1,0.4,.280,6.5,14.8,.440,3.2,4.2,.776,0.9,3.1,4.0,8.0,1.7,0.2,2.7,2.5,16.6
SG,25,ORL,79,76,2920,7.3,16.3,.449,1.1,3.1,.353,6.2,13.3,.471,3.7,5.0,.741,1.5,4.4,5.9,3.3,1.6,0.7,2.0,2.5,19.4
SF,34,PHI,69,0,1263,6.4,15.5,.414,1.1,3.4,.325,5.3,12.1,.439,2.1,2.5,.809,1.8,3.5,5.2,2.7,0.9,0.1,1.8,2.1,16.0
SG,26,SAS,38,7,560,5.1,12.0,.430,0.1,0.5,.125,5.1,11.4,.444,1.4,1.8,.786,0.5,3.2,3.7,5.1,0.9,0.4,2.8,3.3,11.8
PG,25,NYK,70,35,1699,3.7,8.9,.415,0.1,0.6,.133,3.6,8.2,.437,2.3,3.4,.673,0.9,2.7,3.6,8.4,2.4,0.3,2.2,3.0,9.7
PG,25,CHI,82,74,2492,5.9,11.8,.499,0.9,2.0,.453,5.0,9.8,.508,1.9,2.2,.861,0.4,1.8,2.2,4.8,1.0,0.1,1.2,2.4,14.6
SG,26,TOT,73,4,1129,4.8,9.9,.492,0.1,0.2,.333,4.8,9.7,.495,3.3,4.8,.705,2.0,3.2,5.1,3.9,1.3,0.6,2.2,4.3,13.1
SG,26,SAC,9,0,76,3.8,8.1,.471,0.0,0.0,,3.8,8.1,.471,5.2,7.1,.733,3.3,1.9,5.2,2.4,0.9,0.5,3.8,5.2,12.8
SG,26,SEA,64,4,1053,4.9,10.0,.493,0.1,0.2,.333,4.9,9.8,.497,3.2,4.6,.701,1.9,3.2,5.1,4.0,1.3,0.6,2.1,4.2,13.1
SF,25,MIA,69,1,935,3.4,8.2,.413,0.8,2.5,.338,2.5,5.7,.446,1.1,1.5,.725,2.8,4.8,7.6,1.2,1.2,1.1,1.4,5.4,8.7
SG,24,ATL,73,66,2112,6.8,13.5,.501,0.0,0.1,.000,6.8,13.4,.504,3.9,5.2,.739,2.4,2.5,4.9,2.9,1.6,0.3,2.7,2.4,17.4
C,23,UTA,46,3,306,5.9,13.2,.446,0.0,0.1,.000,5.9,13.1,.450,3.4,5.2,.659,4.5,4.8,9.3,0.7,0.9,1.6,2.7,7.1,15.2
PF,23,MIL,82,78,2285,5.5,12.6,.433,0.0,0.0,.000,5.5,12.6,.434,1.8,2.7,.651,2.8,5.2,8.1,1.4,0.9,1.2,2.2,3.7,12.7
PG,32,BOS,10,0,97,3.3,9.3,.360,0.0,0.4,.000,3.3,8.9,.375,1.9,2.2,.833,0.4,2.2,2.6,7.4,0.7,0.0,6.3,4.1,8.5
PF,31,MIN,70,3,1276,5.7,12.6,.455,0.0,0.0,,5.7,12.6,.455,3.4,4.0,.838,1.5,4.6,6.1,1.7,0.6,1.3,1.7,2.5,14.8
SG,24,DAL,23,0,175,3.9,12.8,.306,0.2,1.2,.167,3.7,11.5,.321,2.5,3.5,.706,2.1,5.6,7.6,6.0,1.6,0.6,3.5,5.8,10.5
PF,29,PHO,76,76,2859,9.0,17.3,.520,0.8,2.8,.305,8.2,14.6,.561,5.6,7.3,.765,3.0,8.7,11.7,4.8,1.5,0.9,2.9,2.5,24.5
PG,25,SEA,69,2,1243,6.2,13.7,.451,1.9,4.9,.379,4.3,8.8,.492,1.4,1.7,.831,0.5,2.6,3.1,4.4,1.8,0.1,1.7,2.3,15.7
SG,23,MIL,47,0,552,5.0,13.4,.369,1.4,4.1,.333,3.6,9.3,.385,2.2,3.2,.673,0.7,2.2,2.8,4.4,2.3,0.2,2.7,3.7,13.4
SG,30,CLE,41,0,497,6.0,14.5,.415,0.1,0.4,.167,5.9,14.1,.423,4.1,5.2,.778,0.3,1.8,2.1,3.9,0.7,0.4,1.6,2.8,16.2
SG,28,BOS,3,1,29,7.4,16.1,.462,0.0,1.2,.000,7.4,14.9,.500,2.5,2.5,1.000,8.7,5.0,13.7,2.5,1.2,0.0,2.5,2.5,17.4
C,29,SAS,16,0,66,4.9,14.7,.333,0.5,0.5,1.000,4.4,14.2,.308,3.3,6.5,.500,0.5,4.9,5.5,0.0,0.0,0.5,0.5,8.2,13.6
C,28,TOT,59,6,754,6.4,12.9,.491,0.0,0.0,,6.4,12.9,.491,3.3,5.0,.663,2.4,7.5,10.0,1.1,1.5,2.3,3.7,6.4,16.0
C,28,SEA,31,6,448,6.5,13.1,.497,0.0,0.0,,6.5,13.1,.497,3.8,5.4,.701,2.2,6.9,9.1,1.0,1.4,2.8,3.4,5.9,16.8
C,28,LAL,28,0,306,6.1,12.7,.481,0.0,0.0,,6.1,12.7,.481,2.6,4.4,.595,2.8,8.5,11.3,1.2,1.6,1.5,4.2,7.2,14.8
PG,23,CHH,75,2,857,4.6,10.9,.423,1.1,3.4,.325,3.5,7.6,.467,1.3,1.7,.732,0.5,2.1,2.6,5.7,1.3,0.0,2.1,4.6,11.6
SF,24,UTA,82,27,1712,5.4,12.4,.436,0.7,2.1,.347,4.7,10.4,.453,2.4,3.2,.750,2.4,5.8,8.2,0.9,0.9,0.9,1.9,4.2,14.0
SG,33,NYK,60,33,1434,6.0,13.5,.443,0.8,1.8,.425,5.2,11.7,.446,1.8,2.3,.789,0.6,2.0,2.6,3.9,0.6,0.3,1.6,3.2,14.6
SF,22,LAL,27,0,109,4.6,13.9,.333,0.0,1.0,.000,4.6,12.9,.359,2.0,2.6,.750,3.3,4.3,7.6,2.3,1.3,0.7,1.7,4.6,11.2
SG,26,MIN,61,2,642,3.6,8.4,.433,0.6,2.4,.256,3.0,6.0,.505,1.1,1.8,.625,1.0,2.8,3.8,4.0,0.9,0.3,1.7,3.4,9.0
SF,26,CHI,2,0,13,8.3,19.4,.429,0.0,0.0,,8.3,19.4,.429,0.0,0.0,,5.5,2.8,8.3,2.8,5.5,0.0,2.8,2.8,16.6
PG,25,ATL,80,78,2820,5.3,12.3,.429,1.5,4.0,.375,3.8,8.3,.456,1.6,2.2,.728,1.1,2.4,3.6,8.6,2.6,0.3,2.4,2.0,13.6
PG,28,CHH,81,80,2833,4.2,9.3,.453,0.1,0.3,.231,4.1,8.9,.462,1.8,2.1,.833,0.6,3.1,3.8,9.0,2.0,0.1,2.0,2.3,10.3
C,30,PHI,58,23,855,2.2,5.3,.409,0.4,1.3,.313,1.8,4.0,.442,0.5,0.8,.632,1.9,6.3,8.1,0.8,0.6,5.0,2.1,3.7,5.3
SG,23,DAL,74,38,1578,5.2,12.9,.402,0.2,1.0,.167,5.0,11.9,.421,2.9,3.8,.772,1.2,3.3,4.5,2.8,1.7,0.4,2.6,5.1,13.5
PF,24,SAC,70,35,1764,4.7,10.1,.461,0.0,0.1,.000,4.7,10.0,.467,2.9,4.9,.593,3.8,5.4,9.3,2.0,1.8,0.3,2.1,3.7,12.3
SG,29,ORL,77,45,1761,5.5,11.6,.471,0.3,1.0,.313,5.2,10.7,.486,1.4,1.7,.798,0.7,3.2,4.0,3.6,1.1,0.3,1.7,2.7,12.6
C,31,NJN,79,65,2092,4.9,11.0,.450,0.0,0.1,.333,4.9,10.9,.451,2.4,3.1,.779,2.7,6.8,9.6,2.2,0.6,2.2,2.1,3.9,12.3
PG,22,CLE,82,8,1622,6.6,13.8,.478,0.3,0.9,.310,6.3,12.9,.491,2.6,3.2,.825,0.8,3.2,4.0,6.7,1.8,0.6,2.4,2.7,16.1
C,32,ATL,12,0,107,5.0,10.4,.484,0.0,0.0,,5.0,10.4,.484,0.7,1.7,.400,3.4,6.1,9.4,2.0,0.7,1.0,1.7,4.0,10.8
C,33,MIL,66,64,2075,7.9,14.5,.545,0.1,0.5,.308,7.8,14.1,.553,3.4,4.6,.728,2.1,4.9,7.0,3.4,1.4,0.8,3.5,4.1,19.3
SF,23,DEN,55,2,571,5.9,14.7,.399,0.4,1.6,.231,5.5,13.1,.420,2.2,2.5,.875,1.4,3.7,5.1,2.1,0.6,0.1,2.5,2.9,14.3
PG,27,HOU,82,0,1516,4.3,9.1,.475,1.0,2.4,.414,3.4,6.8,.497,2.7,3.2,.830,0.5,1.8,2.4,5.8,1.9,0.1,1.7,3.2,12.3
SF,24,NJN,77,20,1186,4.9,10.0,.483,0.0,0.2,.000,4.9,9.9,.491,2.2,3.0,.724,2.7,4.4,7.0,1.5,0.6,0.7,1.7,3.4,11.9
PG,24,BOS,80,48,2254,5.2,11.2,.468,0.4,1.3,.317,4.8,9.9,.488,3.1,3.9,.793,0.7,3.2,3.9,7.4,2.2,0.5,2.2,3.2,14.0
C,29,UTA,82,21,1551,4.1,9.5,.430,0.0,0.0,.000,4.1,9.5,.431,2.6,3.8,.689,3.4,5.7,9.1,1.5,0.7,0.5,2.2,4.4,10.8
PG,24,SAC,75,34,1726,4.7,10.1,.463,0.0,0.1,.333,4.7,10.0,.465,2.4,3.3,.732,1.6,2.9,4.4,4.1,2.3,0.7,2.5,4.3,11.8
C,27,POR,80,24,1396,4.8,9.5,.503,0.0,0.0,.000,4.8,9.5,.504,2.7,3.8,.703,3.4,5.0,8.4,1.1,1.0,0.6,1.7,5.8,12.3
SF,24,GSW,70,9,1287,4.9,11.3,.437,0.6,1.7,.339,4.4,9.6,.453,1.8,2.4,.747,2.3,3.2,5.5,2.6,1.3,0.5,1.5,2.7,12.2
PF,25,HOU,79,4,1356,5.7,13.1,.431,2.4,6.5,.374,3.2,6.7,.486,1.5,2.0,.784,1.8,4.1,5.9,2.9,0.8,0.3,1.5,3.4,15.3
SF,24,MIA,26,8,451,4.3,11.3,.383,0.4,1.2,.333,3.9,10.1,.389,7.3,10.1,.717,1.8,3.8,5.6,1.3,1.0,1.3,4.0,4.6,16.3
SG,30,WSB,4,0,35,10.3,26.7,.385,1.0,3.1,.333,9.3,23.7,.391,8.2,10.3,.800,2.1,1.0,3.1,6.2,2.1,0.0,4.1,5.1,29.8
C,31,SEA,82,66,2156,3.7,6.9,.526,0.0,0.0,.000,3.7,6.9,.528,1.0,2.2,.469,4.5,6.5,11.0,1.2,1.3,0.8,1.0,3.1,8.3
SF,23,DAL,53,13,885,6.1,12.7,.484,0.0,0.2,.000,6.1,12.5,.490,2.8,4.0,.687,3.6,3.2,6.8,2.4,1.0,0.2,2.6,5.2,15.1
PF,24,LAL,79,13,1551,5.5,12.1,.458,0.0,0.1,.000,5.5,12.0,.460,3.0,4.7,.637,2.9,4.8,7.7,1.1,1.4,2.3,1.6,3.8,14.1
SF,30,NYK,58,13,1062,6.6,13.4,.490,0.1,0.2,.400,6.5,13.3,.491,2.0,2.9,.678,2.0,3.3,5.3,2.1,1.2,0.2,1.7,5.1,15.2
PF,31,SAS,71,46,1947,7.0,13.0,.538,0.0,0.1,.000,7.0,12.9,.541,3.2,4.1,.777,2.0,5.2,7.2,1.8,0.6,1.6,1.8,4.9,17.2
C,35,CHI,63,63,1253,4.1,9.9,.411,0.0,0.0,,4.1,9.9,.411,2.1,2.8,.735,2.4,4.3,6.7,2.4,0.6,0.3,1.8,4.4,10.2
PF,29,ORL,21,1,262,4.9,10.0,.493,0.0,0.0,,4.9,10.0,.493,3.7,4.7,.794,2.5,3.8,6.3,0.7,0.5,0.1,3.4,4.3,13.6
C,24,SAC,55,45,1211,5.2,9.5,.545,0.0,0.0,.000,5.2,9.5,.547,3.1,4.9,.624,3.3,5.7,9.0,1.0,1.0,2.6,1.7,5.7,13.5
SF,23,PHO,74,46,1607,8.5,14.8,.576,0.0,0.0,.000,8.5,14.8,.577,4.2,5.8,.725,3.9,5.3,9.1,1.7,1.2,0.6,2.4,2.3,21.3
PF,33,PHO,73,0,1723,6.7,15.0,.447,0.2,0.6,.393,6.5,14.4,.449,5.0,6.0,.837,2.0,5.2,7.2,2.1,0.9,0.5,1.9,4.4,18.6
SG,25,WSB,60,23,1300,7.9,16.7,.477,1.2,3.2,.371,6.8,13.5,.502,3.7,4.5,.810,0.5,1.9,2.4,3.2,1.1,0.3,2.2,3.3,20.7
PG,36,NJN,35,0,510,3.6,6.6,.548,0.0,0.1,.000,3.6,6.4,.560,1.7,1.9,.889,0.4,2.6,3.0,7.6,2.3,0.1,2.3,2.5,8.9
PF,24,SAC,59,9,834,7.1,14.7,.485,0.0,0.0,,7.1,14.7,.485,1.4,2.0,.696,3.5,4.9,8.4,2.8,0.9,0.9,2.3,4.4,15.6
SG,22,LAL,23,0,332,4.9,11.5,.425,0.2,1.3,.167,4.7,10.2,.457,5.4,7.2,.758,2.6,2.9,5.5,5.7,2.4,0.5,5.4,5.7,15.4
PF,25,NJN,76,73,2759,7.4,16.0,.460,0.3,1.3,.232,7.1,14.7,.480,5.5,6.8,.808,3.2,7.9,11.1,3.6,1.2,1.6,3.2,2.7,20.5
PG,24,MIA,81,37,2232,5.1,11.1,.464,0.7,2.2,.307,4.5,8.9,.503,2.9,3.5,.805,0.9,1.7,2.7,6.0,1.3,0.2,1.7,3.2,13.8
C,25,SAC,46,0,467,6.2,13.2,.474,0.0,0.3,.000,6.2,12.9,.485,4.4,6.2,.704,3.7,5.8,9.5,2.9,1.0,0.4,2.2,3.3,16.9
PG,33,LAC,31,0,422,2.4,5.3,.452,0.0,0.0,,2.4,5.3,.452,1.5,1.6,.947,1.4,2.8,4.2,5.5,2.9,0.3,1.8,3.3,6.3
PG,23,LAL,65,0,645,3.5,8.8,.392,0.4,1.7,.233,3.1,7.1,.430,1.4,2.0,.714,0.7,2.1,2.8,8.4,1.0,0.1,3.9,3.7,8.7
SF,30,UTA,82,58,2555,5.4,10.8,.503,0.0,0.1,.000,5.4,10.7,.506,2.5,3.1,.826,2.7,4.6,7.3,2.4,1.5,0.5,1.5,3.6,13.4
PG,24,TOT,10,0,105,4.8,8.2,.583,0.0,1.0,.000,4.8,7.2,.667,5.5,7.2,.762,0.3,2.1,2.4,5.5,2.1,0.0,2.7,6.2,15.1
PG,24,ORL,9,0,102,4.6,8.1,.565,0.0,1.1,.000,4.6,7.1,.650,5.6,7.4,.762,0.4,2.1,2.5,5.6,2.1,0.0,2.8,6.0,14.8
PG,24,WSB,1,0,3,12.0,12.0,1.000,0.0,0.0,,12.0,12.0,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0
PF,23,TOT,12,0,104,4.5,11.1,.406,0.0,0.0,,4.5,11.1,.406,2.4,3.1,.778,1.4,5.2,6.6,1.0,1.7,1.7,2.1,5.9,11.4
PF,23,CHI,5,0,34,4.2,9.5,.444,0.0,0.0,,4.2,9.5,.444,3.2,4.2,.750,2.1,0.0,2.1,1.1,2.1,1.1,3.2,9.5,11.6
PF,23,GSW,7,0,70,4.6,11.8,.391,0.0,0.0,,4.6,11.8,.391,2.1,2.6,.800,1.0,7.7,8.7,1.0,1.5,2.1,1.5,4.1,11.3
PG,23,UTA,40,0,243,5.5,10.7,.514,0.3,2.1,.143,5.2,8.6,.603,3.9,5.6,.684,0.6,1.9,2.5,8.1,1.6,0.0,4.4,4.3,15.1
PF,31,SAS,8,0,76,5.2,13.7,.379,0.0,0.0,,5.2,13.7,.379,2.4,4.7,.500,2.8,6.2,9.0,1.9,0.5,0.5,0.9,8.1,12.8
C,27,DAL,20,0,166,3.5,8.9,.390,0.0,0.0,,3.5,8.9,.390,5.6,7.8,.722,3.7,6.9,10.6,2.6,1.5,0.4,1.7,6.5,12.6
SG,28,CHH,80,0,2094,8.6,18.9,.452,1.6,4.1,.401,6.9,14.9,.466,2.3,2.7,.866,0.9,4.0,4.9,3.1,1.5,0.4,2.2,2.6,21.1
SG,25,SAS,77,10,1573,6.5,14.7,.443,1.4,4.1,.333,5.2,10.7,.484,1.6,2.3,.727,2.0,3.0,4.9,3.4,0.9,0.7,2.3,3.3,16.0
C,27,CLE,71,71,2691,7.0,12.2,.571,0.0,0.0,.500,6.9,12.2,.571,5.2,6.6,.795,2.2,7.5,9.7,4.2,0.7,0.7,2.0,2.3,19.2
PF,23,IND,82,82,2264,4.8,8.5,.568,0.0,0.0,,4.8,8.5,.568,1.9,3.6,.529,4.6,6.9,11.5,1.1,1.0,2.4,1.3,4.4,11.6
SG,22,NYK,50,2,815,4.9,11.1,.438,0.3,0.8,.316,4.6,10.2,.448,1.9,2.4,.796,0.6,1.9,2.5,3.7,1.0,0.2,2.0,3.1,11.9
PF,25,DAL,75,74,2462,5.7,12.6,.455,0.0,0.1,.250,5.7,12.5,.457,2.4,4.1,.594,3.8,6.5,10.3,1.0,0.5,0.4,2.3,2.9,14.0
PG,29,PHI,74,10,1598,5.8,13.3,.437,0.6,1.9,.310,5.2,11.4,.458,2.5,3.2,.796,0.7,2.3,3.1,7.6,1.8,0.1,2.7,2.1,14.8
SG,23,MIL,71,37,1931,6.7,15.4,.432,1.0,3.4,.293,5.7,12.0,.472,4.0,5.5,.717,2.7,2.7,5.4,2.2,1.4,0.9,2.2,4.1,18.3
PG,26,SAS,73,31,1526,5.1,10.1,.507,0.1,0.6,.250,5.0,9.6,.522,2.4,2.8,.863,0.4,3.4,3.8,6.9,1.0,0.0,2.2,3.4,12.8
PF,23,ORL,21,0,240,6.0,11.7,.513,0.0,0.1,.000,6.0,11.5,.519,2.4,3.0,.800,3.6,4.8,8.4,0.7,2.1,2.5,3.7,7.2,14.4
C,24,LAL,82,69,2525,5.7,11.7,.485,0.3,1.1,.280,5.4,10.6,.505,3.4,4.9,.689,3.1,7.3,10.4,3.3,1.8,2.0,3.1,4.4,15.0
C,35,UTA,6,1,94,3.1,5.4,.571,0.0,0.0,,3.1,5.4,.571,1.9,3.4,.556,2.3,8.8,11.1,0.4,0.4,2.7,1.5,5.0,8.0
PG,26,BOS,79,36,1932,4.9,9.9,.498,0.1,0.5,.207,4.8,9.3,.515,1.6,2.8,.560,1.2,1.8,3.0,9.5,0.9,0.2,3.0,3.1,11.5
C,30,IND,43,0,239,2.9,8.7,.328,0.0,0.6,.000,2.9,8.1,.352,1.2,2.3,.533,3.9,6.0,9.9,1.2,0.8,1.2,1.4,9.0,6.9
SG,30,POR,49,49,1671,7.5,17.6,.429,0.7,2.9,.233,6.9,14.7,.467,5.3,6.3,.839,2.7,3.9,6.7,6.0,2.0,0.8,2.5,3.4,21.0
C,28,POR,74,55,1762,6.1,14.1,.438,0.0,0.0,.000,6.1,14.0,.439,2.6,3.6,.730,2.4,5.5,7.9,1.4,0.9,0.8,1.8,4.5,14.9
